job_title,company,job_location,post_date,extract_date,job_description,job_salary
"Manager, Marketing Data & Analytics",United States Fund for UNICEF,"New York, NY",30+ days ago,2022-04-25,"Democratize data access that empowers teams to better understand and act on data and key metrics.
Ability to transform data into a digestible and presentable…",
Senior Data Scientist,Metropolitan Transportation Authority,"Manhattan, NY",11 days ago,2022-04-25,"A minimum of (3) years of experience in data science or data engineering, or another position with similar programing and data management content.",
"Senior Machine Learning Engineer, Human Motion NEW YORK, NYT...",Tonal,"New York, NY+3 locations",30+ days ago,2022-04-25,"Collaborate closely with data scientists to invent algorithms.
Built efficient ML pipelines over real-time sensor data.
High degree of self-awareness.",
Statistician/Data Scientist,9Rooftops,"New York, NY 10012 (Little Italy area)",30+ days ago,2022-04-25,"O Communication skills to ask questions of clients and internal partners to clarify data definitions, data structure and data generation biases.",
"VP, Analytics",Dentsu Media,"New York, NY 10017 (Murray Hill area)",Today,2022-04-25,"Steward development and ongoing management of our unified data infrastructure, directing engineers to deploy data sources and architecture that can be leveraged…",
Business Analyst,Circle,"Remote in New York, NY",30+ days ago,2022-04-25,"Create analyses that tell a ""story"" focused on business insights, not just data.
Be the subject matter expert for data analysis and product funnels for all of…",
Data Engineer - Risk,nate,"New York, NY+2 locations",30+ days ago,2022-04-25,"Develop a unified data structure for analytics and data science, including unified user data schemas and tables that provide a complete view of the business…",
DATA ENGINEER,Tellic LLC,"Water Mill, NY 11976",30+ days ago,2022-04-25,"5+ years of experience supporting data science pipelines in Python.
Experience scaling data science routines for high-throughput processes at the terabyte level…",
Senior NLP Data Scientist,Paper,"Remote in New York, NY 10016",30+ days ago,2022-04-25,"To manipulate data and draw insights from large data sets is a plus.
Assess the effectiveness and accuracy of new data sources and data collection techniques.",
Senior Data Engineer,Justworks,"Hybrid remote in New York, NY",30+ days ago,2022-04-25,"Strong experience with root cause analysis on data, infrastructure and code to improve data services.
You love to take on complex data-related problems and will…",
Data Engineer,Go2Andaman,"New York, NY",21 days ago,2022-04-25,"You are passionate about analytics use cases, data models and solving complex data problems.
You'll implement automated workflows that lower manual/operational…",
Analyst/Sr Analyst,Xandr,"New York, NY",28 days ago,2022-04-25,"Experience with data visualization and using data to tell a story.
Provide expert data science support while also delegating to associate analysts where needed.",
Senior Data Science Engineer,super{set} startup studio,"New York, NY 10118 (Chelsea area)",30+ days ago,2022-04-25,"5-9 years of professional data science related work.
Scale efforts to democratize data internally and externally, be an ambassador for data-driven culture.",
Machine Learning Engineer,Temboo,"New York, NY 10013 (Tribeca area)",30+ days ago,2022-04-25,"Strong computer science fundamentals (notably algorithms and data structures, distributed systems and information retrieval).",
VP of Data Science,DDB,"New York, NY 10007 (Financial District area)",30+ days ago,2022-04-25,"15+ Years of data science experience, ideally gained in marketing agency or a data-centric management consulting practice.",
Graph Data Science Product Manager,Neo4j,"Remote in New York, NY",30+ days ago,2022-04-25,Conduct market research into competing graph data science libraries and other data science platforms to understand differentiating features and potential…,
Data Science & AI/ML Product Manager,LOCKHEED MARTIN CORPORATION,"Rochester, NY 14623",30+ days ago,2022-04-25,Demonstrated experience in computer science and statistics to solve business and data problems using all phases of the data science development process.,
"Senior Business Intelligence Analyst, Personalization",Spotify,"Remote in New York, NY",30+ days ago,2022-04-25,"Develop and articulate data stories and show them to your stakeholders.
Crafting effective intelligent benchmarks, understanding performance, caring about data…",
Senior Data Analyst,EPAM Systems,"New York, NY 10010 (NoMad area)+1 location",30+ days ago,2022-04-25,Create ETL packages and scripts to extract and load data into a data warehouse using Google internal workflow engines to meet the business data needs.,
Compliance Monitoring Associate,Sony Corporation of America,"Hybrid remote in New York, NY 10010",30+ days ago,2022-04-25,"Perform detailed data analysis on compliance program data, including data preparation, analysis, and effective communication of results.",
Senior Data Scientist (Replica Analytics),Aetion,"New York, NY",30+ days ago,2022-04-25,"Proficient in Python or R programming for data science (data cleaning/pre-processing, classification and regression, model evaluation, data visualization,…",
Data Scientist,Momentum Staffing Group LLC,"New York, NY 10005 (Financial District area)",4 days ago,2022-04-25,"M.S. or PhD degree in data science, computer science, software engineer, computer engineering, chemistry, or related field.
1–5 years of relevant experience.",
Senior ETL Data Analyst,Alliant,"Brewster, NY 10509",30+ days ago,2022-04-25,"Experience in the development and implementation of data warehouses and data marts.
Analyze client CRM data feeds and develop ETL processes to manage Coop data…",
Senior Data Scientist,AArete,"Remote in New York, NY 10020",30+ days ago,2022-04-25,"Develop custom data models and algorithms to apply to data sets.
Experience with Healthcare data analytics is necessary.",
AVP - Quantitative Data Analytics,Global Atlantic Financial Group Opportunities,"New York, NY",5 days ago,2022-04-25,The Product Risk and Data Analytics group is seeking a data scientist / developer to join our team of data scientists and quants to help enhance our experience…,
Senior Data Engineer,the dtx company,"New York, NY",30+ days ago,2022-04-25,"Managing the dtx data warehouse and data lake and own data quality for allocated areas of ownership, including defining and managing SLA for all data sets.",
"Analytics Engineer, Talk",Spotify,"Remote in New York, NY",12 days ago,2022-04-25,You have 2+ years of experience in a similar role developing and maintaining data pipelines and working with large scale data using SQL and Python.,
"VP, Data & Analytics",DigitalOcean,"Remote in New York, NY 10013",30+ days ago,2022-04-25,"A proven hands-on technical background in data science, business intelligence or data engineering with demonstrated strategic impact at an executive level and…",
Data Scientist,"iHeartMedia, Inc.","White Plains, NY 10601",30+ days ago,2022-04-25,"2-5+ years of commercial experience in data science.
Demonstrate passion about using data assets to optimize systems and products.
Paid vacation and sick time.",
Quality Assurance Analyst,SevenRooms,"Remote in New York, NY 10011",26 days ago,2022-04-25,"Define, design, and implement test plans using TestRail QA software.
Perform manual testing of both web and mobile products.
A meticulous approach to work.",
Machine Learning Postdoctoral Research Associate,Brookhaven National Laboratory,"Upton, NY 11973+1 location",30+ days ago,2022-04-25,"Perform data pre-processing, analysis, and visualization.
We bring together computer scientists, applied mathematicians and domain scientists to carry out…",
Manager Assistant- Decision Science,Amex,"New York, NY",23 days ago,2022-04-25,The Consumer Marketing and Enterprise Personalization Decision Science team is responsible for consumer marketing models and personalization decision science…,
JPMorgan Payments-Innovation & Fintech Partnerships-Associat...,"JPMorgan Chase Bank, N.A.","New York, NY",5 days ago,2022-04-25,"Morgan with a track record for getting new solutions to market.
Our group partners with emerging FinTech players to accelerate the development of new products…",
Data Scientist,Veeva Systems,"New York, NY",30+ days ago,2022-04-25,"Experience working with large quantities of data to develop models that work in a stable, production approach with live data.",
Strategic Analytics Analyst,"Herman Miller, Inc.","Remote in New York, NY 10036",30+ days ago,2022-04-25,"Primarily leverage data from within our data warehouse, but supplement it with additional data gathering and cleanup when required.",
Manager Customer Data and Insights,JetBlue Airways Corporation,"Long Island City, NY 11101",30+ days ago,2022-04-25,"Drives a data centric targeted marketing approach across all Consumer Promotions.
Respond to ad-hoc requests for Customer information by mining data and…",
Software Engineer III - Machine Learning (Remote),Staples,"Remote in New York, NY",EmployerActive 4 days ago,2022-04-25,"Demonstrated success in development and design of large scale big data systems that perform complex event processing, machine learning and/or data mining.",
Machine Learning Engineer,Fractal.ai,"Remote in New York, NY",27 days ago,2022-04-25,"Bachelors or equivalent experience in statistics, computer science, engineering, informatics, data science, or related field; Additional business degree is a…",
Data Scientist,RCS,"White Plains, NY 10601",30+ days ago,2022-04-25,"2-5+ years of commercial experience in data science.
Demonstrate passion about using data assets to optimize systems and products.
Paid vacation and sick time.",
Sr. Machine Learning Scientist (Fishbowl),Glassdoor,"Remote in New York, NY",30+ days ago,2022-04-25,"Proficiency with SQL for data analysis.
Perform data analysis, cleaning, sampling, and feature engineering.
Deploy and maintain models in production.",
Data Scientist - Staff,EY,"New York, NY 10011 (Chelsea area)+7 locations",30+ days ago,2022-04-25,"You will help our clients navigate the complex world of modern data science and analytics.
As a member of the Advanced Analytics team, we'll look to you to…",
Trading and Support Analyst,Quantbot Technologies,"New York, NY 10017 (Murray Hill area)",30+ days ago,2022-04-25,This is a great opportunity for a passionate technologist candidate who loves problem-solving in a production environment and enjoys using data science…,
Senior Scientist - Machine Learning,GE Corporate,"Niskayuna, NY 12309+1 location",5 days ago,2022-04-25,"Develop software solutions for the application of Machine Learning to medical and industrial data.
As a Senior Scientist, you will design, experiment, analyze,…",
"Director, Data Strategy",New York University,"New York, NY 10012 (Greenwich Village area)",30+ days ago,2022-04-25,Advanced proficiency in preparing and working with large data sets (preparing data and tables for data-driven analysis) both independently and as part of a team…,
"Senior Manager, Biopharma/Life Sciences Data Science",Regeneron,"Tarrytown, NY 10591",27 days ago,2022-04-25,"Adept at the use of structured and unstructured data sources, including image-based data, device data, and real-world data.",
"Sr Data Scientist, TMT - Creator Growth",Amazon.com Services LLC,"New York, NY+8 locations",30+ days ago,2022-04-25,Translate problems into specific analytical questions and form hypotheses that can be answered with available data using statistical methods or identify…,
Customer Support Engineer (Remote),Neo4j,"Remote in New York, NY",30+ days ago,2022-04-25,Consult with customers on Cypher query tuning (SQL for graphs) and data model design to address performance needs and expanding use cases.,
Anti-Financial Crime Modeling - Tuning & Optimization - Vice...,Resource Solutions,"New York, NY 10025 (Upper West Side area)",EmployerActive 25 days ago,2022-04-25,"Bachelor’s/Master’s degree in statistics, mathematics, economics, computer science, data science, MIS/information management or equivalent.",
Senior People Data Analyst,Medidata Solutions,"Remote in New York, NY 10014+1 location",30+ days ago,2022-04-25,"Provide ongoing operational talent reports to the business with data driven narratives.
3+ years of hands-on experience with data visualization and ETL tools…",
"Research Engineer, AI (University Grad)",Facebook App,"New York, NY",30+ days ago,2022-04-25,"Collaborate with AI Research Scientists to facilitate research that enables learning the semantics of data (images, video, text, audio, and other modalities).",
"Senior, Data Analyst",Macy’s,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"Provide guidance on data conversion/mapping decisions and responsible for data integrity.
Research data and systems issues.",
Senior Data Scientist at Rent-to-Own Startup,Recruiting From Scratch,"Remote in Rochester, NY 14623+3 locations",5 days ago,2022-04-25,"You have 3+ years of experience working in data science.
Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…",
Senior Data Engineer - Distributed US,Cockroach Labs,"Remote in New York, NY",30+ days ago,2022-04-25,"Strong knowledge of data architecture, data modeling, statistics, data science and data infrastructure ecosystems.
Reporting to Veera Ilamurugu, Head of Data.",
Senior Healthcare Data Analyst,FAIR Health,"Remote in New York, NY 10017",30+ days ago,2022-04-25,A strong background with healthcare data and analyses and a very good understanding of variations in the data itself.,
Data Engineer,Alldus,"Hybrid remote in New York, NY",30+ days ago,2022-04-25,"Previous experience building data products.
Our client have built a platform that uses data to help clients drive successful and targeted Marketing campaigns…",
"Senior Project Manager: Life Science, Interiors, Data Center...",Scott Humphrey Corporation,"New York, NY",EmployerActive 5 days ago,2022-04-25,"National general contractor that specializes in the construction of commercial interiors, cold storage facilities, Data Centers, and Life Science Facilities.",
"Senior Data Analyst, Programmatic",Known,"New York, NY",30+ days ago,2022-04-25,"Aptitude for deeply interpreting data/analytics.
Experience with data visualization tools such as Looker or Tableau is a plus.
Basic ML is a plus.",
"Director, Data Strategy",New York University,"New York, NY 10012 (Greenwich Village area)",30+ days ago,2022-04-25,Advanced proficiency in preparing and working with large data sets (preparing data and tables for data-driven analysis) both independently and as part of a team…,
Senior Data Scientist - Routing Algorithm,Revel,"Remote in Brooklyn, NY",8 days ago,2022-04-25,"Lead the development of our Ride Assignment, Routing & Rebalancing algorithms.
Improve the efficacy of our existing Dynamic Pricing Algorithm.",
Staff Auditor/Analyst - Spring 2022,Metropolitan Transportation Authority,"Manhattan, NY+1 location",28 days ago,2022-04-25,"Analyses data using a variety of software to identify risks.
Ability to gather and interpret high volumes of complex data.",
Senior Data Engineer,CVS Health,"New York, NY+4 locations",30+ days ago,2022-04-25,"Build data marts and data models to support Data Science and other internal customers.
Integrates data from a variety of sources, assuring that they adhere to…",
"Natural Language Processing Specialist (AI), University of F...",Greater New York Metropolitan Area Chapter,"New York, NY",30+ days ago,2022-04-25,"As a member of the Academic Research Consulting and Services (ARCS) department, the NLP Specialist synergizes with existing specialists who provide expertise in…",
District Data Coach,InnovateEDU,"Remote in Brooklyn, NY 11201",30+ days ago,2022-04-25,"You have either been a data analyst yourself or worked in data for a school system.
InnovateEDU strives to create real tooling and projects that greatly assist…",
Data Engineer,Prescriptive Data,"Remote in New York, NY",30+ days ago,2022-04-25,"Interact with primary data store to establish ML optimized data stores.
Knowledge of data modeling strategies.
Facilitate QA of AI/ML applications.",
Data Engineer,Acacia Network,"Bronx, NY 10457 (Tremont area)",24 days ago,2022-04-25,"Bachelor""s degree in informatics, data science, computer science or related field.
Write complex queries to turn big data into valuable and actionable insights.",
"Lead Data Scientist, Presales, New York",Moveworks,"New York, NY",30+ days ago,2022-04-25,"You have 3+ years experience of leading data science or analytics teams.
Focus on improving data quality and anomaly detection to increase trust in data.",
AI Software Developer,XSB,"Setauket, NY 11733",30+ days ago,2022-04-25,"Knowledge and experience in data mining techniques.
Participate in the development, release, and maintenance of software applications.",
"Business Intelligence & Analytics, Director",The Estée Lauder Companies,"Remote in Melville, NY 11747",30+ days ago,2022-04-25,"Partner closely with IT to identify, acquire and maintain data sets data, allowing data to be pulled together in a new way across the entire corporation.",
Sr. Equity Research Associate- Data Science and Engineering,Truist Financial,"New York, NY 10036",30+ days ago,2022-04-25,"Formulates data-driven investment ideas based on understanding of equity markets and how alt-data impacts them.
Comfortable writing data research commentary.",
"Manager, Data Science Analytics",Tapestry,"New York, NY",30+ days ago,2022-04-25,"Collaborate with our data science algorithm and engineer team to innovate potential data science products and solutions.
Data analytics experience in R/Python.",
"Senior Data Scientist, Analytics NEW YORK, NYTECHNOLOGY – SO...",Tonal,"New York, NY+2 locations",30+ days ago,2022-04-25,"Experience with device sensor and/or user interaction data.
3-5 years of experience working in a data driven environment.
Fluency with Python and SQL.",
Software Engineer Lead - Data Engineer,Capgemini,"New York, NY+1 location",30+ days ago,2022-04-25,"Participate on the (Domain) Data Steward Forum for (meta) data management / data organization support.
Big data technologies (Hadoop, Spark).",
Data Privacy Analyst,Click Therapeutics,"Remote in New York, NY",30+ days ago,2022-04-25,"Support communications planning, including the development and implementation of data privacy training.
Ability to collaborate effectively with a diverse set of…",
Postdoctoral Fellow-MSH,Mount Sinai,"New York, NY",30+ days ago,2022-04-25,"Analyzing massive electronic medical record data;
Perform rigorous and reproducible data analyses;
Experience in data science, machine learning, statistical…",
Senior Healthcare Data Analyst,FAIR Health Inc,"New York, NY 10036 (Midtown area)+1 location",30+ days ago,2022-04-25,They will also have a strong analytic background and have an ability to read data and extract information from it.,
Senior Healthcare Data Analyst,FAIR Health Inc,"New York, NY 10036 (Midtown area)+1 location",30+ days ago,2022-04-25,They will also have a strong analytic background and have an ability to read data and extract information from it.,
2022-13: Technical Research Analyst,MDRC,"Hybrid remote in New York, NY 10281",30+ days ago,2022-04-25,"Master’s degree in data science, data visualization, or quantitative social science or bachelor’s degree and a minimum of 2 years applied experience.",
Business Analyst,TheNumber,"New York, NY",30+ days ago,2022-04-25,Our platform draws together integrated consumer credit data combined with structured and unstructured data feeds sourced from traditional data vendors and…,
Survey Statistician/Demographer-Consultant,International Rescue Committee,"New York, NY",30+ days ago,2022-04-25,"Documentation that briefly describes data cleaning and weighting procedures.
Conduct and document data cleaning including consistency checks and recoding…",
Sr. Healthcare Business/Data Analyst,IQVIA,"Orchard Park, NY",16 days ago,2022-04-25,We believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world.,
Lead Data Scientist,FARFETCH,"New York, NY",27 days ago,2022-04-25,"Farfetch relies heavily on insights from our data science team to drive customer acquisition, retention and to detect new areas of opportunity.",
"Data Lab Architect, AWS Data Lab","Amazon Dev Center U.S., Inc.","New York, NY+5 locations",30+ days ago,2022-04-25,"Hands on experience as a database, data warehouse, big data/analytics developer or administrator, or work as a data scientist.",
"Director, Data Management & Analytics Engineering","CareMount Health Solutions, LLC","Chappaqua, NY 10514",30+ days ago,2022-04-25,"Champion data governance, quality and lead efforts to build an even stronger data-driven culture through storytelling with data, developing common…",
Senior Data Engineer,US Mobile,"New York, NY 10017 (Midtown area)",30+ days ago,2022-04-25,"Monitor, evaluate, and continuously improve existing data products and solutions.
Design, develop, and document data solutions and products in collaboration…",
REMOTE Data Engineer,CyberCoders,"Remote in New York, NY+1 location",1 day ago,2022-04-25,"ACID, snowflake schema, normalized/denormalized data.
Build and edit Spark jobs in Scala for various tasks, ex - reading kinesis stream using Spark Streaming,…",
Senior Machine Learning Engineer,Xandr,"New York, NY",28 days ago,2022-04-25,"Knowledge of data manipulation frameworks (e.g., Apache Spark).
The team extracts data and labels from structured and unstructured data stores to create large…",
"Senior Data Scientist, Insights",Peloton,"New York, NY 10011 (Chelsea area)",13 days ago,2022-04-25,"Proven experience with mixed data skillsets and approaches (analytics, analytic tools, and data science); experience with rapid product development in an agile…",
Technical Project Manager - Data Scientist,Millennium Management LLC,"New York, NY",12 days ago,2022-04-25,We are growing our data science practice to take advantage of new tools and techniques in the areas machine learning and natural language processing.,
Sr Machine Learning Engineer,Nielsen,"New York, NY",30+ days ago,2022-04-25,This Machine Learning Engineer role would place you at the heart of our data science and data processing operations where your skills can make a direct impact.,
Portfolio Analytics Architect,Infologitech,"New York, NY",EmployerActive 12 days ago,2022-04-25,"About 10 years or more relevant experience in computer or software engineering, applications/systems development, data engineering, data science, data analysis.",
"Senior Director, Data Science - OCSO",Metropolitan Transportation Authority,"Manhattan, NY",30+ days ago,2022-04-25,"Lead initiatives that leverage data science as a tool to develop measurable, data-driven insights that create solutions for operations while improving the…",
Senior Portfolio Analyst,InfoLogitech,"Remote in New York, NY",EmployerActive 12 days ago,2022-04-25,"Business Intelligence solution development with data modeling, data mart, and data warehouse architectures.
Strong experience in reporting and data analysis in…",
"Analyst, Revenue Intelligence",AT&T,"New York, NY",30+ days ago,2022-04-25,"Proficiency with data analysis and manipulation in Excel.
Work closely with cross-functional partners, including global monetization teams, analytics, data…",
Sr. Data Engineer Experience,Essence,"New York, NY",30+ days ago,2022-04-25,"Good understanding of data architecture, data integrity concepts and data standardization;
Create and maintain optimal data pipeline architecture to work with…",
Senior Machine Learning Engineer,Smartling,"Remote in New York, NY",30+ days ago,2022-04-25,"Work in a team of data scientists, software engineers, and data engineers to brainstorm and execute on the best possible solutions.",
Maching Learning Research Scientist - Applied Researcher - C...,Apple,"New York, NY",30+ days ago,2022-04-25,"Experience in payment science is a plus.
Attention to detail, data accuracy and quality of output.
Experience with large scale distributed data processing…",
Data Strategy Practitioner,Accenture,"New York, NY",30+ days ago,2022-04-25,"Minimum of 7 years of experience in defining enterprise data strategy in the areas such as cloud data migration, data management, data governance, data supply…",
Senior Quantitative Analyst - Algorithm Trading Model Valida...,UBS,"New York, NY",30+ days ago,2022-04-25,"Algorithmic and electronic trading models.
Perform independent reviews/validations of algo/e-trading.
Provide an expert assessment of the testing frameworks for…",
Data Scientist,VMLY&R,"New York, NY 10019 (Midtown area)",30+ days ago,2022-04-25,"Interpret resulting data and build analytic and brand hypotheses.
The Data Scientist will be assigned to client teams across a variety of consumer-driven…",
Sr. Data Scientist,Nielsen,"New York, NY",30+ days ago,2022-04-25,"Minimum of 3 years work experience in data science and analytics.
Proficiency in Python and relevant data science libraries (e.g. numpy, pandas, sci-kit learn).",
"Senior Data Analyst, Customer Success",Compass,"Remote in New York, NY",4 days ago,2022-04-25,"Advocate for process improvements to drive our data platform forward with a metrics-driven, continuous improvement approach.",
Lead Workforce Intelligence Analyst - Data Scientist,Northwell Health,"Lake Success, NY",30+ days ago,2022-04-25,"Leads data analysis, research, and evaluation of various business processes and measures.
Guides the analysis and interpretation of data to quantifiably asses…",
"Research Scientist, NLP",Dataminr,"Remote in New York, NY 10016",30+ days ago,2022-04-25,"Dataminr puts real-time AI and public data to work for our clients, generating relevant and actionable alerts for global corporations, public sector agencies,…",
Senior Data Engineer,EquityZen,"Hybrid remote in New York, NY 10004",30+ days ago,2022-04-25,Translate data science concepts to high quality machine learning pipelines expanding on both offline and online prediction using relevant techniques.,
Data Engineer - Mount Sinai Health Partners,Mount Sinai,"New York, NY 10129 (East Harlem area)+2 locations",30+ days ago,2022-04-25,Design and build data marts to specification to enhance efficiency of standard reporting and analyses being built by data science analysts.,
Manager Customer Data and Insights,JetBlue Airways Corporation,"Long Island City, NY 11101",30+ days ago,2022-04-25,"Drives a data centric targeted marketing approach across all Consumer Promotions.
Respond to ad-hoc requests for Customer information by mining data and…",
"Principal, Data Science/Analytics",Splunk,"New York, NY 10001 (Chelsea area)",30+ days ago,2022-04-25,"10 + years of pricing, finance, data science or analytics heavy roles; 2 + years of experience managing a team.
Provide analysis of ad hoc strategic questions.",
QA Automation Engineer - Risk,Balyasny Asset Management,"New York, NY",30+ days ago,2022-04-25,"Data analysis experience with data science libraries (Pandas, Numpy …) is a plus.
In the role of QA Automation Engineer, you will be responsible for the…",
Senior Data Scientist,Digitas,"New York, NY 10014 (SoHo area)",6 days ago,2022-04-25,"A Bachelor’s or Master’s degree in a quantitative field such as statistics, mathematics, econometrics, operations research, data science, computer science,…",
L'Oreal IT Analytics & DDX Manager,L'Oreal,"New York, NY",30+ days ago,2022-04-25,"Analyze data to understand performance drivers and identify improvement opportunities.
Understanding of optimal data architecture designs for disparate data…",
Data Scientist - Marketing Measurement and Attribution,Daily Harvest,"New York, NY",28 days ago,2022-04-25,"Excellent communication skills, including data visualization.
You will build sophisticated data products and develop machine learning models that strengthen our…",
CRM Administrator / Analyst,"Jefferies & Company, Inc.","New York, NY 10162 (Upper East Side area)",7 days ago,2022-04-25,"This initiative, spanning all client-facing business units and corporate functions, will drive innovation and strategic change through technology, data science,…",
Senior Data Analyst - Engineering Analytics,Verizon,"West Nyack, NY 10994",6 days ago,2022-04-25,Using data visualization and other data-gathering methods to either provide internal strategic direction or guide decisions for other teams.,
Staff Data Engineer,"Grubhub Holdings, Inc.","New York, NY 10018 (Garment District area)+1 location",30+ days ago,2022-04-25,"As part of the Discovery Data & Machine Learning team you will partner with a diverse team of experts across engineering, business, and data science to scale,…",
"Business Intelligence Manager, Uber Advertising",Uber,"New York, NY 10007 (Financial District area)",30+ days ago,2022-04-25,"You’ll partner with Ads Business leadership to provide data-supported recommendations.
A minimum of 4 years’ experience in data analysis, business intelligence,…",
"Vice President, Data & Analytics",Bombas,"Remote in New York, NY",30+ days ago,2022-04-25,"Data Products: partner with data engineering team to create and execute the data product roadmap, including the data warehouse, data sources, data quality,…",
"Manager, Marketing Data & Analytics",United States Fund for UNICEF,"New York, NY",30+ days ago,2022-04-25,"Democratize data access that empowers teams to better understand and act on data and key metrics.
Ability to transform data into a digestible and presentable…",
ACA Section Leader - Big Data,Raytheon Missiles & Defense,"New York, NY 10025 (Upper West Side area)",2 days ago,2022-04-25,The System of Systems Modeling and Architecture Directorate performs customer focused operational analysis and simulation activities within Raytheon Missiles &…,
Quantitative Research Analyst,King.com,"New York, NY",30+ days ago,2022-04-25,"BA/BS in quantitative discipline such as data science or computer science.
You will be responsible for delivering advanced data science analyses within the…",
People Analytics Advisor,Morgan Stanley,"New York, NY",30+ days ago,2022-04-25,"This BU Lead will join an evolving, fast-paced, global analytics organization where staff across business intelligence, data science, and firm analytics (this…",
Machine Learning Engineer,Wework,"New York, NY+1 location",30+ days ago,2022-04-25,"3+ years of hands-on experience in predictive modeling, large data sets and related technologies.
You will work with complex data sets to develop advanced…",
Senior Data Scientist,Yieldmo,"Remote in New York, NY 10011",30+ days ago,2022-04-25,"Experience in querying and manipulating data with SQL or another data query language in a big data environment.
Statistical data modeling and analysis.",
"Director, Data Science & Analytics",HelloFresh,"New York, NY",30+ days ago,2022-04-25,"Drive innovation and best practices and enable adoption of those capabilities across the data science community.
Jump in and work with the data!",
"Manager, Business Intelligence, Strategic Initiatives",Amazon.com Services LLC,"New York, NY+1 location",30+ days ago,2022-04-25,"Proficiency in at least one programming language used for data science such as Python, R, etc.
Demonstrated ability to write complex, optimized SQL queries…",
Staff Machine Learning Engineer,Crunchbase,"New York, NY",30+ days ago,2022-04-25,"Help establish processes and best practices to help grow the data science guild and data guild.
Dealing with large amounts of data on a daily basis is a plus.",
Lead Data Scientist,Nielsen,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"Experience with sophisticated data mining & modeling solutions and the tools that support them such as Scikit-learn, PyTorch, and PyMC3.",
"Senior Analyst, Internal Audit (IT)",Spotify,"Remote in New York, NY",18 days ago,2022-04-25,"Minor/coursework in computer science, software engineering, or data science is a plus.
Digital skills like data analytics, robotic process automation, or…",
AI Scientist | Intelligent Control,Prescriptive Data,"Remote in New York, NY+1 location",30+ days ago,2022-04-25,"With an ability to apply statistical methodologies in the data science domain.
Work closely with ML engineers and data scientists to enable successful…",
Director - Machine Learning Engineer,Moody's,"New York, NY 10001 (Chelsea area)+2 locations",5 days ago,2022-04-25,"Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others.",
FX eForward Strategist,Morgan Stanley,"New York, NY",30+ days ago,2022-04-25,EForward is seeking an experienced candidate in NYC to contribute to the research and development of algorithmic trading strategies.,
Portfolio Analytics Architect,InfoLogitech,"New York, NY",EmployerActive 14 days ago,2022-04-25,"Business Intelligence solution development with data modeling, data mart, and data warehouse architectures.
Strong experience in reporting and data analysis in…",
ACA Section Leader - Big Data,Raytheon Missiles & Defense,"New York, NY 10025 (Upper West Side area)+2 locations",2 days ago,2022-04-25,The System of Systems Modeling and Architecture Directorate performs customer focused operational analysis and simulation activities within Raytheon Missiles &…,
100% Remote - Sr. Data Analytics Manager -Join a $40B Indust...,Thermo Fisher Scientific,"Remote in New York, NY",30+ days ago,2022-04-25,"Collaborate with AIG Nucleus data team to deploy and improve data analytics models, growing data accessibility and quality, facilitating data-driven decision…",
"Data Scientist, Talent Analytics & Reporting",Ross Stores,"Hybrid remote in New York, NY 10018",30+ days ago,2022-04-25,"Data Scientist, Talent Analytics- The Data Scientist, utilizes advanced statistical methods to make data driven business recommendations.",
Machine Learning Engineer,Cash App,"Remote in New York, NY+3 locations",30+ days ago,2022-04-25,"Our ML Engineers operate embedded in product-focused Workstreams and work in close collaboration with Data Scientists, ML Modelers and Software Engineers from…",
Data Scientist - Marketing Measurement and Attribution,Daily Harvest,"New York, NY",28 days ago,2022-04-25,"Excellent communication skills, including data visualization.
You will build sophisticated data products and develop machine learning models that strengthen our…",
"Senior Data Engineer, Product Data (Remote)",Squarespace,"Remote in New York, NY 10014",20 days ago,2022-04-25,"Develop data workflows to ingest, validate, and model data to support analytics and modeling needs.
Systems design knowledge; you know how to architect data…",
"Associate, Operations Research Data Scientist",KPMG,"Rochester, NY 14604 (Central Business District area)+6 locations",30+ days ago,2022-04-25,"Process structured, unstructured and semi-structured data and apply data cleaning, data imputation and feature engineering methods prior to developing models.",
Analytics Consultant,CVS Health,Remote in New York State+5 locations,30+ days ago,2022-04-25,"Master’s degree in data science, business analytics, epidemiology, or related discipline.
Bachelor’s degree in computer science, engineering, analytics, IT,…",
"Applied Scientist, Special Projects",Amazon.com Services LLC,"New York, NY",30+ days ago,2022-04-25,"2+ years of experience in one or more areas in the life sciences.
PhD (or MS degree + 4 years’ experience) in Machine Learning, Artificial Intelligence,…",
Machine Learning Engineer/Scientist: Experienced,Jane Street,"New York, NY",30+ days ago,2022-04-25,"Help lead the effort to expand and improve Jane Street's ML infrastructure and data pipeline.
Deep experience with applying one or more major ML packages (e.g.…",
"Sr. Director, Data Science, Digital Subscription (Hybrid Rol...",ITGen Systems,"New York, NY",EmployerActive 21 days ago,2022-04-25,We seek an individual with strong experience in data science and advanced analytics especially in digital media for prospecting and lead generation.,
"VP, Data Platform & Insights",Barnes & Noble Education,"New York, NY 10018 (Clinton area)",30+ days ago,2022-04-25,"Oversee the establishment of a strong data governance function, including both data integrity and data security.",
